Address,Total Amount Held,Percentage Held
inj1r0snudnv5rg2m0k2g7dk6mhpd72mzdh3s00puy,981812.00,0.10%
inj1ptvpx5k9rd4ysu4sj0rxh85v6vgyv8h9gduulk,800777.39,0.08%
inj1rchqm749hzx7s4y5ajc0hra4v26gca6lcgv4hh,800000.00,0.08%
inj17k5yptd7xj7ua7qg26ws3f6gdjl6cufq6s68ey,710897.56,0.07%
inj1l2gcrfr6aenjyt5jddk79j7w5v0twskw6n70y8,744725.00,0.07%
inj14kxpflpkqzzplpv6qq0ua66f2y3m9377pecxpf,561793.98,0.06%
inj1cegxuj5dlz9naw9ezy2fu0zxmrxa5cctu6su3m,647809.37,0.06%
inj1dewkg7z8vffqxk7jcer6sf9ttnx54z0c6gfjw6,559406.58,0.06%
inj1k7z5k90q2u7q0zhm5duu3da6tenyh5sge2j0kv,491260.78,0.05%
inj1ml229yyfr3gxgl2vf6j06xsvs8f35n6ad2g3sn,516589.50,0.05%
inj16mxwjjae2tamjefmjgmv9ddgxn2fzalj6wkgte,388395.00,0.04%
inj1ysg8u0la8drvkjxjsmzk84rtuhvhhxwz69kl23,398049.42,0.04%
inj14640m70y39f9ch58as7qyqkp59yu4r7krhdwp8,259382.56,0.03%
inj1mdtwsv5h0ap9dwtf6x00uyc7l26pw70jh7ukce,319914.62,0.03%
inj1p6c9945uzgd25dnkxghrm0dem0j7q2mcwtj4pg,336298.92,0.03%
inj10xhf9aaddu98t85eqh58vn0mv5h92vnc5zxcfx,154626.81,0.02%
inj19n3ztpvhwax7dlmj9w5mkfay9famdsphgw433j,122880.00,0.01%
inj15f9h2myktc2k5tul8qwj8nxce7qyr5pmq6dtus,8090.29,0.00%
inj1lu5wqmfhg8m2a3vtqhhgqtp6ezvt4ua7xxtpp5,16890.89,0.00%
inj1r3lv5hf285fjerhswy65mtzm0zmh2a9me3fqgq,39177.87,0.00%
inj1uzt00aldpnc7xlur3q7r24tuwdtlezcln7uegf,16938.28,0.00%
inj1vuzl67duxjr936pvpqq2wc2yk8vjljj0dzgtdw,0.98,0.00%
